Id,Level,FechaRegistro,Message
10,exito,2026-04-28T17:28:06.966124,"Variables de entorno cargadas correctamente"
11,exito,2026-04-28T17:28:06.986008,"Watchdog Workmanager registrado (cada 15 min)"
12,error,2026-04-28T17:28:07.152715,"Error checking permissions: PlatformException(PermissionHandler.PermissionManager, A request for permissions is already running, please wait for it to finish before doing another request (note that you can request multiple permissions at the same time)., null, null)"
13,info,2026-04-28T17:29:39.449615,"🟢 onStart: servicio background iniciado 2026-04-28T17:29:39.438436"
14,info,2026-04-28T17:29:39.454080,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42899 min)."
15,advertencia,2026-04-28T17:29:39.454251,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
16,info,2026-04-28T17:29:39.475736,"SessionService: token vigente, vence 2026-05-28T12:29:34.000 (restan 42899 min)."
17,advertencia,2026-04-28T17:29:39.475794,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""8c73abfb-7d98-4861-a3b4-03b712f2325b""."
18,exito,2026-04-28T17:29:39.475807,"✅ Usuario válido (8c73abfb-7d98-4861-a3b4-03b712f2325b), arrancando..."
19,exito,2026-04-28T17:29:40.623572,"Base de datos sincronizada correctamente"
20,exito,2026-04-28T17:29:40.632578,"🚀 Usando velocidad: 40.0 km/h, usando umbral frenada 4.5, usando umbral giro 2.3, usuando umbra cel 1.2"
21,exito,2026-04-28T17:29:40.632846,"🚀 Background arrancado ✅ userId=8c73abfb-7d98-4861-a3b4-03b712f2325b nombres=""Juan Vergara"" clienteIds=856 clientePreop=""856"" | params: velMax=40.0 AVL=300s frenada=4.5 giro=2.3 usoCel=1.2 magAcel=11.0 velIni=7.0 velStop=5.0 distStop=1.0 secStop=120 distPos=50 deltaMov=5.0 tEvalIni=5 soloVeh=1"
22,exito,2026-04-28T17:29:40.644110,"🚀 Usando velocidad: 40.0 km/h, usando umbral frenada 4.5, usando umbral giro 2.3, usuando umbra cel 1.2"
