Id,Level,FechaRegistro,Message
1,exito,2026-04-30T15:49:20.632463,"Variables de entorno cargadas correctamente"
2,exito,2026-04-30T15:49:20.927720,"Watchdog Workmanager registrado (cada 15 min)"
3,info,2026-04-30T15:49:52.155563,"SessionService: token vigente, vence 2026-05-30T10:49:43.000 (restan 42899 min)."
5,advertencia,2026-04-30T15:49:52.155795,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""ec28812e-33a9-4cb8-9db1-66de5c07467b""."
4,info,2026-04-30T15:49:52.156280,"🟢 onStart: servicio background iniciado 2026-04-30T15:49:52.055532"
6,info,2026-04-30T15:49:52.240602,"SessionService: token vigente, vence 2026-05-30T10:49:43.000 (restan 42899 min)."
7,advertencia,2026-04-30T15:49:52.240767,"SessionService: JWT sin clienteids; aplicando default SYSCAF (856) para usuario id=""ec28812e-33a9-4cb8-9db1-66de5c07467b""."
8,exito,2026-04-30T15:49:52.240829,"✅ Usuario válido (ec28812e-33a9-4cb8-9db1-66de5c07467b), arrancando..."
9,exito,2026-04-30T15:49:53.498611,"Base de datos sincronizada correctamente"
10,exito,2026-04-30T15:49:53.508620,"🚀 Usando velocidad: 80.0 km/h, usando umbral frenada 4.5, usando umbral giro 2.3, usuando umbra cel 1.2"
11,exito,2026-04-30T15:49:53.508887,"🚀 Background arrancado ✅ userId=ec28812e-33a9-4cb8-9db1-66de5c07467b nombres=""Marcial Diaz"" clienteIds=856 clientePreop=""856"" | params: velMax=80.0 AVL=1800s frenada=4.5 giro=2.3 usoCel=1.2 magAcel=11.0 velIni=7.0 velStop=5.0 distStop=1.0 secStop=120 distPos=50 deltaMov=5.0 tEvalIni=5 soloVeh=1"
12,exito,2026-04-30T15:49:53.531763,"🚀 Usando velocidad: 80.0 km/h, usando umbral frenada 4.5, usando umbral giro 2.3, usuando umbra cel 1.2"
13,info,2026-04-30T15:49:53.531843,"startAVL: timer AVL configurado cada 1800s"
14,exito,2026-04-30T15:49:55.094715,"Base de datos sincronizada correctamente"
15,exito,2026-04-30T15:49:55.107927,"🚀 Usando velocidad: 80.0 km/h, usando umbral frenada 4.5, usando umbral giro 2.3, usuando umbra cel 1.2"
16,exito,2026-04-30T15:49:56.043490,"enviando correctamente"
17,exito,2026-04-30T15:49:56.206556,"Interfaz lista. Procesando logica de fondo..."
18,exito,2026-04-30T15:49:56.231393,"Usando velocidad maxima: 80.0 km/h"
19,advertencia,2026-04-30T15:49:56.246927,"No hay viaje para sincronizar."
20,advertencia,2026-04-30T15:49:56.265953,"No hay errores para sincronizar."
21,exito,2026-04-30T15:49:56.266015,"Ventana iniciada."
22,exito,2026-04-30T15:49:56.266033,"Configuracion obtenida."
23,exito,2026-04-30T15:49:59.057396,"UI ABIERTA"
24,advertencia,2026-04-30T15:50:14.202253,"ActivityRecognition no confirmo, arrancando GPS por fallback"
25,advertencia,2026-04-30T15:50:27.245300,"ActivityRecognition no confirmo, arrancando GPS por fallback"
26,advertencia,2026-04-30T15:50:46.462874,"ActivityRecognition no confirmo, arrancando GPS por fallback"
27,advertencia,2026-04-30T15:50:49.615622,"ActivityRecognition no confirmo, arrancando GPS por fallback"
28,advertencia,2026-04-30T15:51:02.510161,"ActivityRecognition no confirmo, arrancando GPS por fallback"
29,advertencia,2026-04-30T15:51:05.530533,"ActivityRecognition no confirmo, arrancando GPS por fallback"
30,advertencia,2026-04-30T15:51:08.581647,"ActivityRecognition no confirmo, arrancando GPS por fallback"
31,advertencia,2026-04-30T15:51:43.437336,"ActivityRecognition no confirmo, arrancando GPS por fallback"
32,advertencia,2026-04-30T15:51:49.111514,"ActivityRecognition no confirmo, arrancando GPS por fallback"
33,advertencia,2026-04-30T15:51:58.675181,"ActivityRecognition no confirmo, arrancando GPS por fallback"
34,advertencia,2026-04-30T15:52:01.681942,"ActivityRecognition no confirmo, arrancando GPS por fallback"
35,advertencia,2026-04-30T15:52:08.726135,"ActivityRecognition no confirmo, arrancando GPS por fallback"
36,advertencia,2026-04-30T15:52:40.480062,"ActivityRecognition no confirmo, arrancando GPS por fallback"
37,error,2026-04-30T15:52:42.971938,"UI EN BACKGROUND"
38,advertencia,2026-04-30T15:52:46.597309,"ActivityRecognition no confirmo, arrancando GPS por fallback"
39,advertencia,2026-04-30T15:52:49.820920,"ActivityRecognition no confirmo, arrancando GPS por fallback"
